Input;Output
Subject: Email Assistance, Context: I want to communicate with my customer, either for emails, messages, and notes for customer.;Draft templates for three different types of customer communication. Create a template for emails, [type of messages] messages, and [type of notes] notes for [type of customers] customers. Keep each template to one paragraph and use a [tone] tone.
Prompt: Write an email to [name] and congratulate them on their new role. Invite them to lunch.;Optimize this prompt to: 'Write an email to [name], the new [position] at [company]. Congratualte them on their new role. Introduce yourself as their contact point at [company name]. Invite them to lunch next week and check, if they prefer Monday or Tuesday.'
Subject: Email Assistance, Context: I want to write an email and congratulate a colleague on their new role, and also inviting them to lunch.;Write an email to [name], the new [position] at [company]. Congratualte them on their new role. Introduce yourself as their contact point at [company name]. Invite them to lunch next week and check, if they prefer Monday or Tuesday.
Prompt: Send an email to colleagues to schedule a meeting to discuss.;Consider improving this prompt to: 'Write me an email to [name] requesting a meeting next week to discuss [topic]. Include considerations for [content].'
Subject: Email Assistance, Context: I want to send an email to colleagues and schedule a discussion meeting.;Write me an email to [name] requesting a meeting next week to discuss [topic]. Include considerations for [content].
Prompt: Generate a detailed roadmap for software development, focusing on key features and scalability.;Try rephrasing as: 'Create a comprehensive roadmap for developing and launching [type of software tool], focusing on [key functionality/aspect], [user interaction/feature], and [scalability/secruity consider].'
Subject: Innovation, Context: I need a roadmap for software development, focusing on key features and scalability.;Create a comprehensive roadmap for developing and launching [type of software tool], focusing on [key functionality/aspect], [user interaction/feature], and [scalability/secruity consider].
Prompt: Develop business growth strategies by leveraging market expansion, branding, engagement etc.;Optimize this prompt: 'Generate strategic initiatives tailored to achieve [company name]s specific business growth objectives. Include actionable plans for market expansion, product diversification, innovation, branding, and customer engangement strategies.'
Subject: Innovation, Context: I want to develop businnes growth strategies by leveraging marjet expansion, branding, engagement etc.;Generate strategic initiatives tailored to achieve [company name]s specific business growth objectives. Include actionable plans for market expansion, product diversification, innovation, branding, and customer engangement strategies.
Prompt: Evaluate the feasibility and market potential of a new business idea across various industries.;Consider improving this prompt to: 'Validate a business idea for a new digitial solution targeting [consumer type] consumers interested in [interests]. Evaluate market trends, identify key demographics, assess competitive challenges, propose monetization strategies, analyze technical feasibility, and recommend implementation and scalability plans.'
Subject: Innovation, Context: I need a evaluation of the feasibility and market potential of a new business idea across various industries.;Validate a business idea for a new digitial solution targeting [consumer type] consumers interested in [interests]. Evaluate market trends, identify key demographics, assess competitive challenges, propose monetization strategies, analyze technical feasibility, and recommend implementation and scalability plans.
Prompt: Generate product names from a descrition and seed words:  -[description] -[seed words].;Try rephrasing as: 'You will be provided with a product description and seed words, and your task is to generate product names. Product desciption: [product description] Seed words: [seed words]'
Subject: Innovation, Context: I want product names based on description and seed words.;You will be provided with a product description and seed words, and your task is to generate product names. Product desciption: [product description] Seed words: [seed words]
Prompt: Develop a half-day agenda for an educational session focused on a slected topic.;Optimize this prompt to: 'Create an agenda for an educational session focused on our [topic] for teams across the organization. Include time for the [activity] and include time for lunch/cofee breaks.'
Subject: Innovation, Context: I want to develop a half-day agenda for an educational session focused on a selected topic.;Create an agenda for an educational session focused on our [topic] for teams across the organization. Include time for the [activity] and include time for lunch/cofee breaks.
Prompt: Generate a design thinking workshop plan adaptable for various topics and audiences.;Consider improving this prompt to: 'You are a professional design thinking workshop facilitator. You are organizing a new workshop.'
Subject: Innovation, Context: I want a design thinking workshop plan adaptable for various topics and audiences.;You are a professional design thinking workshop facilitator. You are organizing a new workshop.
Prompt: Create a brief and persuasice elevator pitch for a specified product or service.;Try rephrasing as: 'Generate an elevator pitch [idea] and include key benefits, competitive points of differentiation, and the pain points that [idea/product name] solves for.'
Subject: Innovation, Context: I want an elevator pitch for a specified product or service.;Generate an elevator pitch [idea] and include key benefits, competitive points of differentiation, and the pain points that [idea/product name] solves for.
Prompt: Create a questionnaire to validate my assumptions.;Optimize this prompt to: 'Act as a [specific role]. Design a sample questionnaire for customer/user interviews as part of the problem validation phase for the following identified problem: [describe identified problem]. Include a mix of open-ended and closed-ended questions.'
Subject: Innovation, Context: I want a questionnaire to validate my assumptions.;Act as a [specific role]. Design a sample questionnaire for customer/user interviews as part of the problem validation phase for the following identified problem: [describe identified problem]. Include a mix of open-ended and closed-ended questions.
Prompt: Create Excel formulas based onuser-described calculations or data manipulations. [table description];Consider improving this prompt to: 'As an Excel Formula Expert, create advanced formulas to perform complex calculations or data manipulations as requested. If details are missing, ask for the desired outcome, cell ranges, criteria, or output format. Once requirements are clear, provide a detailed formula with an explanation of each parts function and tips for effective use within Excel. [table description]'
Subject: Data Analytics, Context: I want to create Excel formulas based on user-described calculations or data manipulations.;As an Excel Formula Expert, create advanced formulas to perform complex calculations or data manipulations as requested. If details are missing, ask for the desired outcome, cell ranges, criteria, or output format. Once requirements are clear, provide a detailed formula with an explanation of each parts function and tips for effective use within Excel.
Prompt: Extract data (email addresses, phone number, address) from a document into a JSON-formatted list.;"Try rephrasing as: 'Precisely copy any [specific data type] from the following text and then write them, one per line. Only write an [specified data type] if it's precisely spelled out in the input text. If there are no specified data in the text, write ""N/A"". Do not say anything else.'"
Subject: Data Analytics, Context: I want to extract data from a document into a JSON-formatted list.;"Precisely copy any [specific data type] from the following text and then write them, one per line. Only write an [specified data type] if it's precisely spelled out in the input text. If there are no specified data in the text, write ""N/A"". Do not say anything else."
Prompt: Create table from unstructured text. [unstructured text];Optimize this prompt to: 'You will be provided with unstructured data, and your task is to parse it into [format]. [unstructured data]'
Subject: Data Analytics, Context: I want to create tables from unstructured text.;You will be provided with unstructured data, and your task is to parse it into [format]. [unstructured data]
Prompt: Generate creative and distinct logo ideas.;Consider improving this prompt to: 'Generate ideas for a creative and eye-catching logo for my new business, [business name]. Generate a logo considering the following: Dual Concept: [concept] Target Audience: [audience] Style Options: [style options].'
Subject: Marketing, Context: I'm looking for creative and distinct logo ideas.;Generate ideas for a creative and eye-catching logo for my new business, [business name]. Generate a logo considering the following: Dual Concept: [concept] Target Audience: [audience] Style Options: [style options].
Prompt: Create a comprehensive marketing plan for a new service/product.;Try rephrasing as: 'I'm developing a marketing plan for a new product that provides [product's offer]. My target audience is [audience]. Help me create a plan with focus on [marketing channels]. Here's what I'd like you to cover: competitor analysis, ideal marketing channel mix with rationale, budget recommendations, key messaging ideas, and proposed campaign timeline with KPIs.'
Subject: Marketing, Context: I want to create a comprehensive marketing plan for a new service/product.;I'm developing a marketing plan for a new product that provides [product's offer]. My target audience is [audience]. Help me create a plan with focus on [marketing channels]. Here's what I'd like you to cover: competitor analysis, ideal marketing channel mix with rationale, budget recommendations, key messaging ideas, and proposed campaign timeline with KPIs.
Prompt: Draft detailed and engaging job descriptions for new positions on different teams.;Optimize this prompt to: 'I am opening a new job position on the [department] team. Write a compelling wrole description for a [position]. Highlight key responsibilities [key resbonsibilities] and requirements including [requirements], a minimum [number] years experience, and a portfolio of [required experience] examples.'
Subject: Human Resources, Context: I want to draft detailed and engaging job descriptions for new positions on different teams.;I am opening a new job position on the [department] team. Write a compelling wrole description for a [position]. Highlight key responsibilities [key resbonsibilities] and requirements including [requirements], a minimum [number] years experience, and a portfolio of [required experience] examples.
Prompt: Draft an anonymous employee satisfaction survey with questions and answer options.;Consider improving this prompt to: 'Draft an anonymous employee satisfication survey with questions and answer options that touch upon key areas like [areas]. Ensure the questions are clear, concise, and avoid leading answers.'
Subject: Human Resources, Context: I need to draft an anonymous employee satisfaction survey with questions and answer options.;Draft an anonymous employee satisfication survey with questions and answer options that touch upon key areas like [areas]. Ensure the questions are clear, concise, and avoid leading answers
Prompt: Generate employee appreciation ideas tailored to my company's culture and diverse interests.;Try rephrasing as: 'Brainstorm some employee appreciation ideas based on company culture of [company culture] and diverse employee interests such as [interests].'
Subject: Human Resources, Context: I want employee appreciation ideas tailored to my company's culture and diverse interests.;Brainstorm some employee appreciation ideas based on company culture of [company culture] and diverse employee interests such as [interests].
Prompt: Distill compex policies into simple, easy-to-understand checklists for new employees. [type of policy];Optimize this prompt to: 'Generate a step-by-step checklist summarizing the company's [type of policy] policy. Ensure it is written in plain language and easy for employees to understand.'
Subject: Human Resources, Context: I need complex policies into simple, easy-to-understand checklists for new employees.;Generate a step-by-step checklist summarizing the company's [type of policy] policy. Ensure it is written in plain language and easy for employees to understand.
Prompt: Create a collaborative team-bonding activity.;Consider improving this prompt to: 'Design a team-bonding activity, such as an office scavenger hunt, to have team members work together during team meeting. [addtional requests if applied]'
Subject: Human Resources, Context: I want to do a collaborative team-bonding activity.;Design a team-bonding activity, such as an office scavenger hunt, to have team members work together during team meeting. [addtional requests if applied]
Prompt: Organize a new employee's first-week schedule to structure and facilitate onboarding activities.;Try rephrasing as: 'Create a table that outlines a new employee's first-week schedule, including key meetings, training sessions, and introductions. Provide a column for key contacts and priority level (low, medium, high) for each activity. [additional needs if applied]'
Subject: Human Resources, Context: I need to organize a new employee's first-week schedule to structure and facilitate onboarding activities.;Create a table that outlines a new employee's first-week schedule, including key meetings, training sessions, and introductions. Provide a column for key contacts and priority level (low, medium, high) for each activity. [additional needs if applied]
Prompt: Create engaging social media posts by generating content ideas.;Optimize this prompt to: 'Write three engaging social media posts about [product/service/topic] that would appeal to [target audience]. Keep each social media post to two sentences and include a call to action to visit [website/landing page].'
Subject: Social Media Assistance, Context: I want to create engaging social media posts.;Write three engaging social media posts about [product/service/topic] that would appeal to [target audience]. Keep each social media post to two sentences and include a call to action to visit [website/landing page].
Prompt: Create engaging social media posts on [specified language] for our upcoming event [event name].;Consider improving this prompt to: 'Create a social media post promoting our upcoming [event name]. Include [attention-grabbing/simple/fun] language and relevant hachstags for [audience]'
Subject: Social Media Assistance, Context: I want to create engaging social media posts in a specified language on our upcoming event. [specified language] [upcoming event];Create a social media post promoting our upcoming [event name]. Include [attention-grabbing/simple/fun] language and relevant hachstags for [audience]
